Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Is Correct
zero_add,-- Using the induction hypothesis we can rewrite succ (0 + d) to succ d,rw [hd],rw [hd],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
",Yes
zero_add,"-- Since both sides are equal, we are done with the proof",rfl,rfl,,,Yes
zero_add,-- Induct on n,induction n with d hd,induction n with d hd,"case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
zero_add,-- substitute 0 -> 0 + 0 into the RHS giving us 0 + 0 = 0 + 0,rw [add_zero],nth_rewrite 3 [← add_zero 0],"case zero
⊢ 0 + 0 = 0 + 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",No
zero_add,"-- 0 + 0 = 0 + 0, completing base case",rw [add_zero],rfl,"case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",error,No
zero_add,-- 0 + succ d -> succ (0 + d) on LHS giving us succ (0 + d) = succ d,rw [add_succ],rw [add_succ],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
",error,Yes
zero_add,-- 0 + d -> d on LHS -> succ d = succ d,"rw [add_succ, hd]",rw [hd],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
",error,No
zero_add,"-- succ d = succ d, QED",rfl,rfl,,error,Yes
zero_add,-- Begin by initiating induction on n,induction n with d hd,induction n with d hd,"case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
zero_add,-- Using the properties of addition by 0 we can rewrite 0 + 0 to 0 on the LHS,rw [add_zero],rw [add_zero],"case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
zero_add,"-- Since both sides are equal, we are done with the base case",rfl,rfl,"case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
zero_add,-- Now using properties of successors we can rewrite 0 + succ d to succ (0 + d) on the LHS getting succ (0 + d) = succ d,rw [add_succ],rw [add_succ],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
",Yes
zero_add,-- Using the induction hypothesis we can rewrite succ (0 + d) to succ d,rw [hd],rw [hd],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
",Yes
zero_add,"-- Since both sides are equal, we are done with the proof",rfl,rfl,,,Yes
